method,sid,sequence_identity,sequence_similarity,len
carbonara_maxseqid,1P4B_L,0.5818181818181818,0.7454545454545455,110
carbonara_minseqid,1P4B_L,0.24545454545454545,0.6454545454545455,110
carbonara_minseqsim,1P4B_L,0.2545454545454545,0.4090909090909091,110
esm,1P4B_L,0.5636363636363636,0.7272727272727273,110
mpnn,1P4B_L,0.5272727272727272,0.6454545454545455,110
baseline,1P4I_L,1.0,1.0,110
carbonara_maxseqid,1P4I_L,0.5909090909090909,0.7272727272727273,110
carbonara_minseqid,1P4I_L,0.24545454545454545,0.5909090909090909,110
carbonara_minseqsim,1P4I_L,0.24545454545454545,0.4,110
esm,1P4I_L,0.5636363636363636,0.6727272727272727,110
mpnn,1P4I_L,0.5272727272727272,0.6818181818181818,110
baseline,1S4G_A,1.0,1.0,51
carbonara_maxseqid,1S4G_A,0.27450980392156865,0.35294117647058826,51
carbonara_minseqid,1S4G_A,0.11764705882352941,0.21568627450980393,51
carbonara_minseqsim,1S4G_A,0.11764705882352941,0.11764705882352941,51
esm,1S4G_A,0.21568627450980393,0.35294117647058826,51
mpnn,1S4G_A,0.27450980392156865,0.3333333333333333,51
baseline,1SSU_A,1.0,1.0,51
carbonara_maxseqid,1SSU_A,0.3137254901960784,0.4117647058823529,51
carbonara_minseqid,1SSU_A,0.0784313725490196,0.27450980392156865,51
carbonara_minseqsim,1SSU_A,0.0784313725490196,0.11764705882352941,51
esm,1SSU_A,0.3333333333333333,0.4117647058823529,51
mpnn,1SSU_A,0.3137254901960784,0.45098039215686275,51
baseline,1WWA_X,1.0,1.0,105
carbonara_maxseqid,1WWA_X,0.4,0.5428571428571428,105
carbonara_minseqid,1WWA_X,0.17142857142857143,0.44761904761904764,105
carbonara_minseqsim,1WWA_X,0.17142857142857143,0.24761904761904763,105
esm,1WWA_X,0.3904761904761905,0.5238095238095238,105
mpnn,1WWA_X,0.3523809523809524,0.47619047619047616,105
baseline,1WWW_X,1.0,1.0,101
carbonara_maxseqid,1WWW_X,0.5247524752475248,0.6732673267326733,101
carbonara_minseqid,1WWW_X,0.2376237623762376,0.5742574257425742,101
carbonara_minseqsim,1WWW_X,0.2376237623762376,0.3465346534653465,101
esm,1WWW_X,0.5445544554455446,0.6633663366336634,101
mpnn,1WWW_X,0.46534653465346537,0.6138613861386139,101
baseline,1WWW_Y,1.0,1.0,101
carbonara_maxseqid,1WWW_Y,0.4752475247524752,0.6138613861386139,101
carbonara_minseqid,1WWW_Y,0.24752475247524752,0.5544554455445545,101
carbonara_minseqsim,1WWW_Y,0.24752475247524752,0.36633663366336633,101
esm,1WWW_Y,0.504950495049505,0.6435643564356436,101
mpnn,1WWW_Y,0.49504950495049505,0.6039603960396039,101
baseline,1WY5_A,1.0,1.0,311
carbonara_maxseqid,1WY5_A,0.5241157556270096,0.7106109324758842,311
carbonara_minseqid,1WY5_A,0.17041800643086816,0.6077170418006431,311
carbonara_minseqsim,1WY5_A,0.17041800643086816,0.35691318327974275,311
esm,1WY5_A,0.5659163987138264,0.7491961414790996,311
mpnn,1WY5_A,0.4662379421221865,0.6591639871382636,311
baseline,1WY5_B,1.0,1.0,311
carbonara_maxseqid,1WY5_B,0.5305466237942122,0.6913183279742765,311
carbonara_minseqid,1WY5_B,0.17363344051446947,0.5980707395498392,311
carbonara_minseqsim,1WY5_B,0.17363344051446947,0.3504823151125402,311
esm,1WY5_B,0.5691318327974276,0.7459807073954984,311
mpnn,1WY5_B,0.45016077170418006,0.6463022508038585,311
baseline,2C4F_T,1.0,1.0,75
carbonara_maxseqid,2C4F_T,0.6,0.7066666666666667,75
carbonara_minseqid,2C4F_T,0.12,0.49333333333333335,75
carbonara_minseqsim,2C4F_T,0.12,0.29333333333333333,75
esm,2C4F_T,0.4666666666666667,0.6,75
mpnn,2C4F_T,0.56,0.72,75
baseline,2C4F_U,1.0,1.0,116
carbonara_maxseqid,2C4F_U,0.5258620689655172,0.7155172413793104,116
carbonara_minseqid,2C4F_U,0.25,0.5862068965517241,116
carbonara_minseqsim,2C4F_U,0.25,0.3620689655172414,116
esm,2C4F_U,0.47413793103448276,0.6206896551724138,116
mpnn,2C4F_U,0.4396551724137931,0.5862068965517241,116
baseline,2C52_A,1.0,1.0,58
carbonara_maxseqid,2C52_A,0.29310344827586204,0.41379310344827586,58
carbonara_minseqid,2C52_A,0.10344827586206896,0.3620689655172414,58
carbonara_minseqsim,2C52_A,0.10344827586206896,0.1206896551724138,58
esm,2C52_A,0.25862068965517243,0.46551724137931033,58
mpnn,2C52_A,0.1206896551724138,0.3448275862068966,58
baseline,2CI2_I,1.0,1.0,65
carbonara_maxseqid,2CI2_I,0.5846153846153846,0.7538461538461538,65
carbonara_minseqid,2CI2_I,0.13846153846153847,0.5692307692307692,65
carbonara_minseqsim,2CI2_I,0.13846153846153847,0.35384615384615387,65
esm,2CI2_I,0.6,0.7230769230769231,65
mpnn,2CI2_I,0.5846153846153846,0.7692307692307693,65
baseline,2CR3_A,1.0,1.0,99
carbonara_maxseqid,2CR3_A,0.3939393939393939,0.5757575757575758,99
carbonara_minseqid,2CR3_A,0.15151515151515152,0.42424242424242425,99
carbonara_minseqsim,2CR3_A,0.15151515151515152,0.2222222222222222,99
esm,2CR3_A,0.3838383838383838,0.5252525252525253,99
mpnn,2CR3_A,0.3333333333333333,0.45454545454545453,99
baseline,2CSI_A,1.0,1.0,76
